Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13
1373159975841718274 2021-03-20 12:00:24 +0530 <szanJu__> #westandforfarmers #MyFarmer_MyPride,,,,,,,,,,,,
1359086283952324612 2021-02-09 15:56:35 +0530 <himachal_abhi> हरियाणा किसान महापंचायत : Singer Rupinder Handa ने किया हरियाणा गौरव सम्मान लौटाने का ऐलान, टिकैत भी पहुंचे #HaryanaGauravSamman #RakeshTikait #RupinderHanda #RakeshTikait #KisanMahapanchayat #FarmersProtest #westandforfarmers #RakeshTiket #KisanAndolan  https://t.co/xGhZNO59kY,,,,,,,,,,,
1358798169878851596 2021-02-08 20:51:43 +0530 <KaurS50457963> #Releasenodeep #farmersprotest  #releasedetainedfarmers Use #Wesupportthetruth to support farmers and Nodeep   @taapsee @TarsemJassar_ @GippyGrewal @ANI @AmmyVirk @BawaRanjit @harbhajanmann #westandforfarmers  https://t.co/YRKb7Jrv8Y,,,,,,,,,,,,
1357699154345156615 2021-02-05 20:04:37 +0530 <jarmans45948903> No farmer no food #westandforfarmers  #FarmersAreIndia,,,,,,,,,,,,
1357354527154982919 2021-02-04 21:15:12 +0530 <SultanP94449118> आने वाले चुनाव में अंग्रेज की औलादों को औकात दिखाने का समय आ गया है। देश, संविधान और लोकतंत्र को है बचाना तो गद्दारों को होगा जेल में जाना।। विचार बदलो सरकार बदलो #westandforfarmers,,,,,,,,,,,
"1357268037758455809 2021-02-04 15:31:31 +0530 <deeghosh> @ani_digital @ANI If farmers protest is India's internal matter then speak why in US Modi ne kaha ""aglibar trump sarkar?"" Why he said ?  #WeStandForFarmers",,,,,,,,,,,,
1357257678825811975 2021-02-04 14:50:21 +0530 <AakreetiL> @taapsee thanks mam nd don't rply to @KanganaTeam bcz mam we don't need to argue with bhakts hume bimari se ladna hai bimar se nai 🌼🌼🌼🌿🌿🌿 #westandforfarmers,,,,,,,,,,,,
1357137244327346177 2021-02-04 06:51:48 +0530 <GURJIND75855729> #westandforfarmers,,,,,,,,,,,,
1356977133059457032 2021-02-03 20:15:34 +0530 <Boss38670426> Ye Silsila kya yuhi Chalta Rahega, Siyasat apni chaalo se kab tak kisaan ko chhalta rahega!  #SaveFarmers #WeStandForFarmers #KisanEktaMorcha  https://t.co/vmqQvL35U8,,,,,,,,,,,
1356947580886732802 2021-02-03 18:18:08 +0530 <SalmanSiddiqiIn> Ye Silsila kya yuhi Chalta Rahega, Siyasat apni chaalo se kab tak kisaan ko chhalta rahega!😭😭😭  #SaveFarmers #WeStandForFarmers #KisanEktaMorcha  https://t.co/0KZcBGqx9L,,,,,,,,,,,
1356920984712802307 2021-02-03 16:32:27 +0530 <AbdallahAIMIM> Ye Silsila kya yuhi Chalta Rahega, Siyasat apni chaalo se kab tak kisaan ko chhalta rahega!  #SaveFarmers #WeStandForFarmers #KisanEktaMorcha  https://t.co/W9lLM3DwrM,,,,,,,,,,,
1356902144155164674 2021-02-03 15:17:35 +0530 <RamanMa42431012> @KanganaTeam bhagtooo ki jalliiii toh hai 🖕🏿.   #FarmersProtests #TractorMarchDelhi #westandforfarmers  https://t.co/ZnC1t7MbLJ,,,,,,,,,,,,
1356889616016580609 2021-02-03 14:27:48 +0530 <Maroofhussain86> #SaveFarmers #WeStandForFarmers #KisanEktaMorcha,,,,,,,,,,,,
1356886446217469952 2021-02-03 14:15:13 +0530 <BasirMkOfficial> Ye Silsila Kya Yuhi Chalta Rahega, Siyasat Apni Chaalo se Kab Tak Kisaan Ko Chhalta Rahega!   #SaveFarmers #WeStandForFarmers  https://t.co/UdqXo77gHH,,,,,,,,,,,
1356871211775496193 2021-02-03 13:14:40 +0530 <irfankhan1802> Ye Silsila kya yuhi Chalta Rahega, Siyasat apni chaalo se kab tak kisaan ko chhalta rahega!  #SaveFarmers #WeStandForFarmers #KisanEktaMorcha  https://t.co/ZVLbQRF4dP,,,,,,,,,,,
1356850590681165824 2021-02-03 11:52:44 +0530 <goldy_aman> #westandforfarmers  #JusticeForNavreet,,,,,,,,,,,,
1356725734555803648 2021-02-03 03:36:36 +0530 <RaviBachhal17> @rihanna #ShameonModiGovt Modi's basic agenda is to sell the whole country to handful cooperate families and in return the public will be in their hands soon.they can mold the coutry anyway they want. Indian GDP came to - 29 #westandforfarmers #NoFarmerNoFood,,,,,,,,,,,,
1356325654724308993 2021-02-02 01:06:50 +0530 <guesswhatnah> @jedijasmin_ @pushpeksidhu is the EXACT same as #alllivesmatter . #BlackLivesMatter  was to bring awareness to issues faced by the black community. Therefore using their hashtag and modifying it a bit is not correct. #westandforfarmers is better. That is all.,,,,,,,,,,,,
1355359037890588674 2021-01-30 09:05:50 +0530 <rupinderhandarh> #westandforfarmers #RakeshTiket #KisanAndolan  https://t.co/y6QppXcEeY,,,,,,,,,,,,
1355237856126504960 2021-01-30 01:04:18 +0530 <mohitsharma4773> Imagine if they start protesting the same way how all protests happen in India where people get violent.  #KisaanEktaJindabaad  #Westandforfarmers #NoFarmersNoFood,,,,,,,,,,,,
1354865913560928258 2021-01-29 00:26:20 +0530 <VishalMassey14> Aj kisano ko rulane walo  Us din ka intezaar kro jis din anaaz ke liye tum.roge Wait for God's Judgement ✋ #KisanAndolan #KisanTractorRally #KisanParade #modi_kayar_hai  #Westandforfarmers,,,,,,,,,,,,
1351402786894737416 2021-01-19 11:05:06 +0530 <MdAtaullah121> हुक्मरान हो गए बहरे और अंधे लोग! खाक में मिल गए नगीने लोग, हर मुहिबे वतन जलील हुआ, रात का फासला तबिल हुआ, अमीरों के गीत जो गाते रहे, वहीं नमोदाद पाते रहे, रैहजनो ने रैहजनी की थी, रैहबरो ने भी क्या कमी की थी। #westandforfarmers,,,,,,
1349195716132892672 2021-01-13 08:55:00 +0530 <DaasFilms> Happy Lohri to You &amp; Your Family From Our Whole Team @DaasFilms  . #daasfilms #daasstudios #clapstudioz . #westandforfarmers #farmerprotest #wesupportfarmers #dillichalo #takebacklaws  #farmersprotesthijacked #FarmersBill2020  #Tractor2Twitter  #Lohri  #festival  #india  https://t.co/yK3GFpasJ6,,,,,,,,,,,,
1348986357339754497 2021-01-12 19:03:05 +0530 <sikhnews247> sikhnews247: asmeet_s: #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers #standwithfarmerschallenge #KisaanMajdoorEktaZindabad #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers #StandWithFarmers…  https://t.co/tpiTrBEELN,,,,,,,,,,,,
1348964676370128896 2021-01-12 17:36:56 +0530 <sikhnews247> sikhnews247: asmeet_s: #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers #standwithfarmerschallenge #KisaanMajdoorEktaZindabad #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers #StandWithFarmers…  https://t.co/tpiTrBn3Uf,,,,,,,,,,,,
1348013014650400768 2021-01-10 02:35:22 +0530 <sikhnews247> sikhnews247: asmeet_s: #TakeBackFarmLaws #IndiaSupportFarmerProtest #SpeakUpForFarmers #IStandWithFarmers #standwithfarmerschallenge #KisaanMajdoorEktaZindabad #KisaanEktaZindabad #FarmersProtest #westandforfarmers #supportourfarmers #StandWithFarmers…  https://t.co/8mHj68fhPH,,,,,,,,,,,,
