Column1,Column2,Column3,Column4,Column5
1373897028992913408 ,2021-03-22 ,12:49:12 ,+0530 ,<Charlie9966> #indianfarmersprotest  https://t.co/gQhSVJxkoq
1373809676371030017 ,2021-03-22 ,07:02:05 ,+0530 ,<marchforfarmers> CANADA CP24 -  https://t.co/H975OjdgRT  Demonstrators show solidarity with Indian Farmers. MARCH FOR FARMERS #MarchForFarmers #kisanektamorcha #stopambani #StopAdani #humanrights #istandwithfarmers #FarmersProtest #Justice #indianfarmersprotest #cp24 #ctv #cbc
1373601464472469507 ,2021-03-21 ,17:14:44 ,+0530 ,"<JasWright6> Yesterday's #WorldwideDemonstration #WorldWideFreedomRally in #Toronto, this is a Revolution!! We need to keep Uniting together for all of #Humanity. The #indianfarmersprotest has started a world movement! #PowerToThePeople #peoplerise #freedom  https://t.co/Sp35tsLlrF"
1373504181965889536 ,2021-03-21 ,10:48:10 ,+0530 ,"<marchforfarmers> FARMERS SLEEPOUT in support of Indian farmers, Vancouver BC Canada on March 26th 2021 5.00 pm onwards #MarchForFarmers #kisanektamorcha #stopambani #StopAdani #humanrights #istandwithfarmers #FarmersProtest #Justice #indianfarmersprotest #cp24 #ctv #cbc  https://t.co/7fmRPZzZWf"
1373351344757694471 ,2021-03-21 ,00:40:50 ,+0530 ,<peace_lead> #stopasianhate #aapi #nigeria #internationalevents #currentevents #covid19 #unitedstates #india #disharavi #indianfarmersprotest (2/2)  https://t.co/axxhxqbT20
1372761044729262087 ,2021-03-19 ,09:35:12 ,+0530 ,<marchforfarmers> CBC CANADA - The suicide crisis hiding behind India’s farmer protests  https://t.co/AntsVBQz9n via @YouTube #MarchForFarmers #kisanektamorcha #stopambani #StopAdani #humanrights #istandwithfarmers #FarmersProtest #Justice #indianfarmersrevolution2020 #indianfarmersprotest
1372510596013252614 ,2021-03-18 ,17:00:00 ,+0530 ,<Point_of_info> Did you know about the #IndianFarmersProtest?🌾  The West have been largely oblivious to what's been happening  Our writers look at the protests in  #India    https://t.co/NQZK4wgSlP
1372288323289513989 ,2021-03-18 ,02:16:46 ,+0530 ,"<marchforfarmers> If Pakistan did Pulwama attack, then why India sending free vaccine there, wake up Andh Bhakto. MARCH FOR FARMERS #MarchForFarmers #kisanektamorcha #stopambani #StopAdani #humanrights #istandwithfarmers #FarmersProtest #Justice #indianfarmersrevolution2020 #indianfarmersprotest  https://t.co/NHZkc3FB2p"
1372276989881675779 ,2021-03-18 ,01:31:44 ,+0530 ,<marchforfarmers> Ranjit Singh Released from Jail: Farmers are happy...  https://t.co/BfSKWYVrsZ via @YouTube  March For Farmers #MarchForFarmers #kisanektamorcha #stopambani #StopAdani #humanrights #istandwithfarmers #FarmersProtest #Justice #indianfarmersrevolution2020 #indianfarmersprotest  https://t.co/r7Ez23jTPz
1372036511533793283 ,2021-03-17 ,09:36:10 ,+0530 ,<marchforfarmers> TORONTO CANADA - Farmers Rally organized by  Sikh Motorcycle Club  https://t.co/g6Q8P591ug  #MarchForFarmers #kisanektamorcha #stopambani #StopAdani #humanrights #istandwithfarmers #FarmersProtest #Justice #indianfarmersrevolution2020 #indianfarmersprotest  https://t.co/viY2pSXw7K
1372027895397384195 ,2021-03-17 ,09:01:55 ,+0530 ,<marchforfarmers> CBC CANADA - Indian farmers hold firm in protests against agriculture laws  https://t.co/08xQURLbe3  #MarchForFarmers #kisanektamorcha #stopambani #StopAdani #humanrights #istandwithfarmers #FarmersProtest #Justice #indianfarmersrevolution2020 #indianfarmersprotest
1371523696624599050 ,2021-03-15 ,23:38:25 ,+0530 ,<ArjunRa83094695> UK: Two British cities Cambridge and Arlington passed a resolution supporting the #FarmersProstests in India.  Thank you for your support @LambaAlka @R1Ruhi @harinde97698163 @INCIndia @RahulGandhi @priyankagandhi #SupportFarmersProtest  #SupprtIndianFarmers #IndianFarmersProtest  https://t.co/bGdDaXPjy8
1371515043645435909 ,2021-03-15 ,23:04:02 ,+0530 ,<Shdv509> I am a Indian farmer🌽🌾🌻Thanks for everyone to support Indian farmers🙏 #IndianfarmersProtest
1371511353534390272 ,2021-03-15 ,22:49:22 ,+0530 ,<Surjeet00639403> #LargestProtestInHistory #FarmersProtest #KisanAndolan #KisanEktaZindabaad #TheWorldIsWatching #FarmersProstests #SaveFarmers #FarmersProtest110Days #KisanKranti #IndianFarmersRevolution2020 #IndianFarmersRevolution2021 #IndianFarmersProtest #Punjab #Haryana #Delhi #UP #India  https://t.co/sEn4q3fWH3
1371444602855563265 ,2021-03-15 ,18:24:08 ,+0530 ,"<punjabkesari> Farmer Proest: ग्रैमी अवार्ड्स में भी छाया किसान आंदोलन, रेड कार्पेट पर ''आई स्टैंड विथ फार्मर्स'' मास्क में दिखीं लिली सिंह  https://t.co/PCirtGId8b  #youtuber #lillysingh #support #indianfarmersprotest #63rdgrammyawards #redcarpet #BollywoodNews #BollywoodNewsandGossip  https://t.co/BdkjY84r7w"
1371420331794137093 ,2021-03-15 ,16:47:41 ,+0530 ,<officialnews360> نڈیا کی حکومت کے نئے زرعی قوانین پر سراپا احتجاج کسانوں نے دہلی کی سرحد کے قریب پکے گھر بنانے شروع کردیے!  https://t.co/mZJMOb3Dep  #News360 #IndianFarmers #indianfarmersprotest
1371371465178673155 ,2021-03-15 ,13:33:30 ,+0530 ,<News18lokmat>  https://t.co/X6DN9P6hd8 I stand with farmers… ग्रॅमी पुरस्कार सोहळ्यामध्येही सेलिब्रिटींनी दिला भारतीय शेतकरी आंदोलनाला पाठिंबा #Indianfarmersprotest #GRAMMYs
1371359391098707970 ,2021-03-15 ,12:45:32 ,+0530 ,<Merl_inJoseph> @Lilly #GRAMMYs #indianfarmersprotest
